10
3 3
1 5 4845
5 9 6474
15 9 5292
14 6 5290
10 6 2818
2 12 1134
10 1 5439
13 11 4046
10 11 4947
9 15 3888
15 1 4868
13 8 6910
12 6 57
15 15 8011
3 5 9519
5 5 9422
11 2 750
10 13 482
8 14 2695
7 5 4397
10 3 8217
12 5 2470
7 4 1738
4 8 6373
15 1 6023
1 14 4814
4 6 4304
15 3 9953
6 9 6804
1 7 2903
10 5 4185
4 8 2529
2 9 547
6 13 9696
10 4 114
15 4 8746
14 3 3837
12 5 5305
2 10 2530
14 3 373
10 14 9662
4 13 1850
14 8 8263
14 8 1275
15 1 5992
10 1 667
4 5 8864
1 15 8417
11 11 9977
5 8 9467
8 2 4039
14 12 4268
8 10 5663
13 15 1205
4 4 2182
6 2 3410
13 7 6873
14 4 7568
12 9 6473
3 4 605
5 10 452
6 2 3816
12 14 5206
13 9 7219
15 4 1429
8 6 3921
1 2 5290
3 6 7741
11 11 8499
12 10 459
8 13 4045
15 5 8631
1 4 7723
12 5 8920
2 11 3323
14 14 3554
6 15 3962
2 1 9315
11 13 5466
5 1 9763
14 10 6022
4 11 4975
15 14 8804
13 2 1583
1 5 140
7 7 5587
2 11 6128
5 11 4139
1 4 7697
12 12 9613
9 12 5627
11 11 5457
5 1 3194
14 6 4671
2 14 1174
13 4 6618
2 3 8381
5 4 6586
1 10 1464
6 6 5954
10 13 4941
12 14 9501
1 7 267
14 15 7563
15 15 3570
13 3 852
6 13 1966
4 12 3472
11 14 7763
7 8 5457
14 4 4997
8 11 1929
15 10 6033
5 13 2287
5 14 1402
5 8 9042
4 4 5981
4 1 9725
3 6 7605
14 9 7647
2 8 6385
5 3 9151
11 15 1665
1 11 5509
11 14 2284
13 10 500
15 1 4428
7 10 6897
6 14 1149
7 11 565
6 6 5386
2 4 5666
5 4 4919
7 6 3545
7 8 2268
12 1 2886
1 11 8332
7 6 8620
14 1 4321
1 14 472
12 1 5581
3 15 8248
9 10 9058
11 5 5628
11 8 4496
4 8 2241
1 14 6184
9 9 4196
3 13 4793
9 8 2609
12 5 6318
6 6 4922
12 6 6
6 3 7648
10 5 973
4 4 7150
10 15 8148
7 6 7439
14 2 6918
5 15 2191
12 15 3901
4 5 811
8 2 6624
15 5 4266
2 8 2404
9 14 1443
13 14 2571
10 10 5203
7 11 3711
6 15 3643
13 15 9082
8 9 893
8 4 6459
8 12 5938
5 11 5932
15 10 5238
14 15 8092
8 13 1554
4 14 1147
5 8 5379
9 2 557
15 15 1638
12 9 6669
9 1 3809
3 6 9561
6 7 6771
2 12 3840
8 3 1834
7 6 236
9 3 8105
2 9 3619
14 3 7583
1 4 1007
13 3 3020
10 10 2998
8 2 3173
5 15 1
15 13 5558
7 1 9290
3 2 7141
10 3 603
9 14 1151
9 13 6806
14 3 2315
6 2 4779
10 14 7285
3 5 9260
11 7 3113
15 2 5942
3 14 1027
14 2 9821
12 3 2333
1 5 5215
4 15 3114
7 7 9952
10 2 7092
3 15 9682
5 7 3832
2 1 957
13 12 6808
10 12 2011
12 15 8054
13 2 4839
3 4 8527
6 15 8286
1 1 2211
7 9 947
14 4 5811
3 6 5208
13 4 1425
8 14 7619
15 9 1635
2 12 2007
9 10 5631
8 6 4006
2 13 8669
10 11 2999
11 14 7150
7 1 9590
7 2 1528
15 1 5595
12 2 7695
7 2 6063
6 14 3924
4 12 9302
13 12 7339
6 14 9555
12 6 9298
6 10 8837
3 1 8430
4 10 9276
12 14 7012
3 15 5730
9 13 6331
11 7 5049
3 4 9489
5 14 9117
3 9 9437
5 6 9144
12 1 3664
5 11 2717
14 15 3344
7 15 9522
15 11 5210
6 5 2591
5 7 396
13 7 434
15 13 8930
2 15 5794
5 3 6848
14 15 1145
8 14 5768
9 12 7330
11 13 8605
5 11 1585
8 15 8993
12 10 1602
14 13 3073
13 7 8100
1 14 7058
4 1 4283
5 4 3016
6 12 2690
3 4 3089
11 9 5045
8 14 3254
4 10 3344
14 14 2093

